Beach Park,Cooordinates,Attendance,Public Contact ,Prevent. Action,Rescues,1st Aid Minor,1st Aid Report,Surf Accidents,Drownings
ALA MOANA ,"21.288490684446305, -157.8467055403703","2,863,822","181,556 ","133,886",55 ,"11,401 ",63 ,5,
ALII/HALEIWA ,"21.594772208212028, -158.10743330488967","636,953","53,270 ","33,623 ",111,"2,545 ",18 ,4,
BELLOWS ,"21.359195218483652, -157.70845588992785","104,443 ","17,755","8,637 ",7,"1,748 ",3,,
CHUNS REEF ,"21.628299129179485, -158.0838033428538","344,980 ","43,292 ","25,976 ",86,"2,239 ",6,,
EHUKAI,"21.665128660347015, -158.05083719085133","599,132 ","98,764 ","61,113 ",124,"1,403 ",24,6,
HANAUMA,"21.272282110579184, -157.69717453415447","1,363,000 ","302,301 ","285,971 ",210,"35,389 ",153,,
KAILUA,"21.406169118411434, -157.7391237808517","992,146 ","71,299 ","32,407 ",12,"10,008 ",24,,1
KEAUWAULA,"21.550050934465375, -158.24212450437352","187,196 ","32,419 ","24,183 ",20,887,38,,
KEWAENA,"21.660170942267197, -158.05644039533743","369,957 ","52,603 ","29,796 ",39,"1,513 ",11,,
KUALOA,"21.536664986474005, -157.83989560876114","307,815 ","18,192 ","11,769 ",402,"1,122 ",2,,1
LANIAKEA,"21.617390466923535, -158.08725967390205","420,317 ","70,680 ","43,257 ",101,"31,673 ",21,6,
MAILI,"21.419303722119288, -158.1778585331871","411,393 ","42,268 ","34,472 ",24,"1,163",22,,
MAKAHA,"21.477466788563095, -158.22105490221574","366,482","49,849 ","38,109 ",55,"1,661 ",37,,
MAKAPUU,"21.31120493723644, -157.66012236572573","214,711 ","46,599 ","43,825 ",111,"2,090 ",12,,
NANAKULI,"21.376241508165585, -158.1417577820669","447,329 ","37,811 ","105,532 ",53,803,35,,
POKAI BAY ,"21.439499693930742, -158.188352873937","329,229 ","57,101 ","19,343 ",7,"6,009 ",20,,
SANDY,"21.28592704181147, -157.67263104789356","533,721 ","184,485 ","146,114 ",826,"4,658 ",42,2,
SUNSET,"21.674611192446015, -158.04018509658513","593,763 ","72,913 ","41,460 ",69,"1,605 ",12,,
WAIKIKI,"21.274097085450006, -157.82478000371333","9,322,325 ","278,928 ","201,723 ",963,"40,159 ",435,85,2
WAIMANALO,"21.332854319899017, -157.69359893255148","690,506 ","66,314 ","30,229 ",94,"4,375 ",21,1,
WAIMEA,"21.64030872544432, -158.06356970064508","702,380 ","94,181 ","82,945 ",129,"1,386 ",22,,